,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Clus_kmeans,sil_width
0,1,5.1,3.5,1.4,0.2,Iris-setosa,1,0.7297367494053228
1,2,4.9,3.0,1.4,0.2,Iris-setosa,1,0.5735579634654274
2,3,4.7,3.2,1.3,0.2,Iris-setosa,1,0.6798251665801386
3,4,4.6,3.1,1.5,0.2,Iris-setosa,1,0.6239912748239121
4,5,5.0,3.6,1.4,0.2,Iris-setosa,1,0.7219069325255685
5,6,5.4,3.9,1.7,0.4,Iris-setosa,1,0.6043613056246939
6,7,4.6,3.4,1.4,0.3,Iris-setosa,1,0.6961345359850023
7,8,5.0,3.4,1.5,0.2,Iris-setosa,1,0.7285338993585333
8,9,4.4,2.9,1.4,0.2,Iris-setosa,1,0.49111250664274586
9,10,4.9,3.1,1.5,0.1,Iris-setosa,1,0.6386915359299801
10,11,5.4,3.7,1.5,0.2,Iris-setosa,1,0.668955926200501
11,12,4.8,3.4,1.6,0.2,Iris-setosa,1,0.7195018274871856
12,13,4.8,3.0,1.4,0.1,Iris-setosa,1,0.5839981380102912
13,14,4.3,3.0,1.1,0.1,Iris-setosa,1,0.5518744307053752
14,15,5.8,4.0,1.2,0.2,Iris-setosa,1,0.5487887425296788
15,16,5.7,4.4,1.5,0.4,Iris-setosa,1,0.4522437740755151
16,17,5.4,3.9,1.3,0.4,Iris-setosa,1,0.6155860626337173
17,18,5.1,3.5,1.4,0.3,Iris-setosa,1,0.7243714875672924
18,19,5.7,3.8,1.7,0.3,Iris-setosa,1,0.5817863934481283
19,20,5.1,3.8,1.5,0.3,Iris-setosa,1,0.6708935383649364
20,21,5.4,3.4,1.7,0.2,Iris-setosa,1,0.6590563564189472
21,22,5.1,3.7,1.5,0.4,Iris-setosa,1,0.6839729350209741
22,23,4.6,3.6,1.0,0.2,Iris-setosa,1,0.6914144823516087
23,24,5.1,3.3,1.7,0.5,Iris-setosa,1,0.637147484062809
24,25,4.8,3.4,1.9,0.2,Iris-setosa,1,0.6992019722145871
25,26,5.0,3.0,1.6,0.2,Iris-setosa,1,0.5504062393910225
26,27,5.0,3.4,1.6,0.4,Iris-setosa,1,0.7023701464541456
27,28,5.2,3.5,1.5,0.2,Iris-setosa,1,0.7174570526642767
28,29,5.2,3.4,1.4,0.2,Iris-setosa,1,0.7125524941032808
29,30,4.7,3.2,1.6,0.2,Iris-setosa,1,0.6702111355052778
30,31,4.8,3.1,1.6,0.2,Iris-setosa,1,0.63026350219874
31,32,5.4,3.4,1.5,0.4,Iris-setosa,1,0.6462730866503503
32,33,5.2,4.1,1.5,0.1,Iris-setosa,1,0.5839338614685908
33,34,5.5,4.2,1.4,0.2,Iris-setosa,1,0.5358545280581932
34,35,4.9,3.1,1.5,0.1,Iris-setosa,1,0.6386915359299801
35,36,5.0,3.2,1.2,0.2,Iris-setosa,1,0.6787798988606155
36,37,5.5,3.5,1.3,0.2,Iris-setosa,1,0.6626891778304866
37,38,4.9,3.1,1.5,0.1,Iris-setosa,1,0.6386915359299801
38,39,4.4,3.0,1.3,0.2,Iris-setosa,1,0.5554751110996863
39,40,5.1,3.4,1.5,0.2,Iris-setosa,1,0.7225595536173712
40,41,5.0,3.5,1.3,0.3,Iris-setosa,1,0.7287494782966233
41,42,4.5,2.3,1.3,0.3,Iris-setosa,1,0.07697095646803223
42,43,4.4,3.2,1.3,0.2,Iris-setosa,1,0.6384537474090071
43,44,5.0,3.5,1.6,0.6,Iris-setosa,1,0.6599846548397436
44,45,5.1,3.8,1.9,0.4,Iris-setosa,1,0.6424144935637723
45,46,4.8,3.0,1.4,0.3,Iris-setosa,1,0.5636715217731265
46,47,5.1,3.8,1.6,0.2,Iris-setosa,1,0.6722253637858451
47,48,4.6,3.2,1.4,0.2,Iris-setosa,1,0.6680388276107317
48,49,5.3,3.7,1.5,0.2,Iris-setosa,1,0.6833935938539238
49,50,5.0,3.3,1.4,0.2,Iris-setosa,1,0.7110912347393223
50,51,7.0,3.2,4.7,1.4,Iris-versicolor,2,0.354658218952297
51,52,6.4,3.2,4.5,1.5,Iris-versicolor,2,0.18322994288751476
52,53,6.9,3.1,4.9,1.5,Iris-versicolor,2,0.3726679706297891
53,54,5.5,2.3,4.0,1.3,Iris-versicolor,0,0.5451984960613022
54,55,6.5,2.8,4.6,1.5,Iris-versicolor,0,0.10783949161986799
55,56,5.7,2.8,4.5,1.3,Iris-versicolor,0,0.5361179572886215
56,57,6.3,3.3,4.7,1.6,Iris-versicolor,2,0.24251931362445947
57,58,4.9,2.4,3.3,1.0,Iris-versicolor,0,0.4131609011406614
58,59,6.6,2.9,4.6,1.3,Iris-versicolor,2,-0.037201383259580466
59,60,5.2,2.7,3.9,1.4,Iris-versicolor,0,0.5459646998743886
60,61,5.0,2.0,3.5,1.0,Iris-versicolor,0,0.4266252063477872
61,62,5.9,3.0,4.2,1.5,Iris-versicolor,0,0.33176289866426706
62,63,6.0,2.2,4.0,1.0,Iris-versicolor,0,0.4676376715683231
63,64,6.1,2.9,4.7,1.4,Iris-versicolor,0,0.3176001002365638
64,65,5.6,2.9,3.6,1.3,Iris-versicolor,0,0.49234885831012476
65,66,6.7,3.1,4.4,1.4,Iris-versicolor,2,0.21129346210446945
66,67,5.6,3.0,4.5,1.5,Iris-versicolor,0,0.3886060199882662
67,68,5.8,2.7,4.1,1.0,Iris-versicolor,0,0.5458386579176734
68,69,6.2,2.2,4.5,1.5,Iris-versicolor,0,0.40171439120886226
69,70,5.6,2.5,3.9,1.1,Iris-versicolor,0,0.583017941142523
70,71,5.9,3.2,4.8,1.8,Iris-versicolor,2,0.04396810201528334
71,72,6.1,2.8,4.0,1.3,Iris-versicolor,0,0.44864115323373416
72,73,6.3,2.5,4.9,1.5,Iris-versicolor,0,0.36001886258496296
73,74,6.1,2.8,4.7,1.2,Iris-versicolor,0,0.414428832413947
74,75,6.4,2.9,4.3,1.3,Iris-versicolor,0,0.19343189893691634
75,76,6.6,3.0,4.4,1.4,Iris-versicolor,2,0.08204680094194451
76,77,6.8,2.8,4.8,1.4,Iris-versicolor,2,0.06819960070960411
77,78,6.7,3.0,5.0,1.7,Iris-versicolor,2,0.3553098736909469
78,79,6.0,2.9,4.5,1.5,Iris-versicolor,0,0.36449487210206954
79,80,5.7,2.6,3.5,1.0,Iris-versicolor,0,0.5546308461197316
80,81,5.5,2.4,3.8,1.1,Iris-versicolor,0,0.5677624485963826
81,82,5.5,2.4,3.7,1.0,Iris-versicolor,0,0.5577378819049905
82,83,5.8,2.7,3.9,1.2,Iris-versicolor,0,0.566030714655731
83,84,6.0,2.7,5.1,1.6,Iris-versicolor,0,0.38544218528730534
84,85,5.4,3.0,4.5,1.5,Iris-versicolor,0,0.4031829466796403
85,86,6.0,3.4,4.5,1.6,Iris-versicolor,2,0.11860092220280455
86,87,6.7,3.1,4.7,1.5,Iris-versicolor,2,0.29762915778302035
87,88,6.3,2.3,4.4,1.3,Iris-versicolor,0,0.414387676919524
88,89,5.6,3.0,4.1,1.3,Iris-versicolor,0,0.435947437581295
89,90,5.5,2.5,4.0,1.3,Iris-versicolor,0,0.587864059749826
90,91,5.5,2.6,4.4,1.2,Iris-versicolor,0,0.5850170561028551
91,92,6.1,3.0,4.6,1.4,Iris-versicolor,0,0.22456769426117673
92,93,5.8,2.6,4.0,1.2,Iris-versicolor,0,0.5785641841540007
93,94,5.0,2.3,3.3,1.0,Iris-versicolor,0,0.44200039518010137
94,95,5.6,2.7,4.2,1.3,Iris-versicolor,0,0.583821635833241
95,96,5.7,3.0,4.2,1.2,Iris-versicolor,0,0.42432898663153845
96,97,5.7,2.9,4.2,1.3,Iris-versicolor,0,0.4962358631906964
97,98,6.2,2.9,4.3,1.3,Iris-versicolor,0,0.3223878702220183
98,99,5.1,2.5,3.0,1.1,Iris-versicolor,0,0.4362287303054822
99,100,5.7,2.8,4.1,1.3,Iris-versicolor,0,0.5505324314367934
100,101,6.3,3.3,6.0,2.5,Iris-virginica,2,0.4210436810573276
101,102,5.8,2.7,5.1,1.9,Iris-virginica,0,0.3439915959215511
102,103,7.1,3.0,5.9,2.1,Iris-virginica,2,0.5216558431171047
103,104,6.3,2.9,5.6,1.8,Iris-virginica,2,0.15954056902755306
104,105,6.5,3.0,5.8,2.2,Iris-virginica,2,0.4374686979114949
105,106,7.6,3.0,6.6,2.1,Iris-virginica,2,0.471633630159519
106,107,4.9,2.5,4.5,1.7,Iris-virginica,0,0.47377849594019183
107,108,7.3,2.9,6.3,1.8,Iris-virginica,2,0.44603005977544974
108,109,6.7,2.5,5.8,1.8,Iris-virginica,2,0.022163872532962762
109,110,7.2,3.6,6.1,2.5,Iris-virginica,2,0.4636145893042318
110,111,6.5,3.2,5.1,2.0,Iris-virginica,2,0.448268676949024
111,112,6.4,2.7,5.3,1.9,Iris-virginica,2,-0.00340034013050697
112,113,6.8,3.0,5.5,2.1,Iris-virginica,2,0.5018495680792627
113,114,5.7,2.5,5.0,2.0,Iris-virginica,0,0.38225690873891305
114,115,5.8,2.8,5.1,2.4,Iris-virginica,0,0.0615741466183391
115,116,6.4,3.2,5.3,2.3,Iris-virginica,2,0.443633716586458
116,117,6.5,3.0,5.5,1.8,Iris-virginica,2,0.35910490058153605
117,118,7.7,3.8,6.7,2.2,Iris-virginica,2,0.4099442921774304
118,119,7.7,2.6,6.9,2.3,Iris-virginica,2,0.33002562563280063
119,120,6.0,2.2,5.0,1.5,Iris-virginica,0,0.4156569400035177
120,121,6.9,3.2,5.7,2.3,Iris-virginica,2,0.547093438388409
121,122,5.6,2.8,4.9,2.0,Iris-virginica,0,0.31953100225091613
122,123,7.7,2.8,6.7,2.0,Iris-virginica,2,0.40130214889885785
123,124,6.3,2.7,4.9,1.8,Iris-virginica,0,0.16883620044382044
124,125,6.7,3.3,5.7,2.1,Iris-virginica,2,0.5241701672373785
125,126,7.2,3.2,6.0,1.8,Iris-virginica,2,0.5159212719280717
126,127,6.2,2.8,4.8,1.8,Iris-virginica,0,0.1648623226378577
127,128,6.1,3.0,4.9,1.8,Iris-virginica,2,-0.013911617245444005
128,129,6.4,2.8,5.6,2.1,Iris-virginica,2,0.2236936518340886
129,130,7.2,3.0,5.8,1.6,Iris-virginica,2,0.44280942484773417
130,131,7.4,2.8,6.1,1.9,Iris-virginica,2,0.4149385649669603
131,132,7.9,3.8,6.4,2.0,Iris-virginica,2,0.3983083563907879
132,133,6.4,2.8,5.6,2.2,Iris-virginica,2,0.24242934331899726
133,134,6.3,2.8,5.1,1.5,Iris-virginica,0,0.17814195805290695
134,135,6.1,2.6,5.6,1.4,Iris-virginica,0,0.3391877217739504
135,136,7.7,3.0,6.1,2.3,Iris-virginica,2,0.46801302497046227
136,137,6.3,3.4,5.6,2.4,Iris-virginica,2,0.4195813482961248
137,138,6.4,3.1,5.5,1.8,Iris-virginica,2,0.36691969160559446
138,139,6.0,3.0,4.8,1.8,Iris-virginica,0,0.07711481853143719
139,140,6.9,3.1,5.4,2.1,Iris-virginica,2,0.5381672010550139
140,141,6.7,3.1,5.6,2.4,Iris-virginica,2,0.5056384643651762
141,142,6.9,3.1,5.1,2.3,Iris-virginica,2,0.5104683497547864
142,143,5.8,2.7,5.1,1.9,Iris-virginica,0,0.3439915959215511
143,144,6.8,3.2,5.9,2.3,Iris-virginica,2,0.539959134365794
144,145,6.7,3.3,5.7,2.5,Iris-virginica,2,0.5008926852267147
145,146,6.7,3.0,5.2,2.3,Iris-virginica,2,0.461333626724307
146,147,6.3,2.5,5.0,1.9,Iris-virginica,0,0.2271632513132762
147,148,6.5,3.0,5.2,2.0,Iris-virginica,2,0.38504287568210055
148,149,6.2,3.4,5.4,2.3,Iris-virginica,2,0.38524528227522686
149,150,5.9,3.0,5.1,1.8,Iris-virginica,0,0.09155978154438993
